"","player","salaries","position","height","weight","G","FG","FGA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","PTS","Team"
"184","Greivis Vasquez",6600000,"PG",78,217,23,45,138,22,26,47,91,10,0,40,42,130,"MIL"
"185","Rashad Vaughn",1733040,"SG",78,202,70,81,266,12,15,88,39,29,16,28,73,217,"MIL"
"186","Arron Afflalo",8e+06,"SG",77,210,71,354,799,110,131,266,144,25,10,82,142,909,"NYK"
"187","Lou Amundson",1650000,"PF",81,220,29,19,53,14,27,49,12,6,7,15,44,52,"NYK"
"188","Thanasis Antetokounmpo",105888,"SF",79,205,2,3,4,0,0,1,0,0,0,0,2,6,"NYK"
"189","Carmelo Anthony",22875000,"SF",80,240,72,567,1307,334,403,556,299,62,38,176,180,1573,"NYK"
"190","Jose Calderon",7402812,"PG",75,200,72,209,455,42,48,229,299,63,7,87,135,544,"NYK"
"191","Cleanthony Early",845059,"SF",80,210,17,12,40,3,4,26,6,2,3,9,16,31,"NYK"
"192","Jimmer Fredette",59731,"SG",74,195,2,1,1,4,5,0,0,0,0,1,1,7,"NYK"
"193","Langston Galloway",845059,"PG",74,200,82,231,588,86,114,288,207,77,22,61,177,625,"NYK"
"194","Jerian Grant",1572360,"PG",76,195,76,154,391,96,123,143,177,50,10,87,97,426,"NYK"
"195","Robin Lopez",1.3e+07,"C",84,255,82,357,662,128,161,602,114,16,129,133,182,842,"NYK"
"196","Kyle O'Quinn",3750000,"PF",82,250,65,129,271,46,60,250,72,20,49,61,107,309,"NYK"
"197","Kristaps Porzingis",4131720,"PF",87,240,72,373,886,201,240,526,93,53,134,121,205,1028,"NYK"
"198","Kevin Seraphin",2800000,"C",81,285,48,84,205,19,23,126,47,8,36,43,67,187,"NYK"
"199","Lance Thomas",1650000,"PF",80,235,59,169,382,102,119,131,53,22,7,57,109,484,"NYK"
"200","Sasha Vujacic",1356146,"SG",79,195,61,106,277,32,39,149,84,34,5,44,83,296,"NYK"
"201","Derrick Williams",4900000,"SF",80,240,80,254,565,194,256,296,75,29,9,61,69,746,"NYK"
"202","Andrea Bargnani",1362900,"C",84,245,46,127,279,47,57,97,18,4,9,26,61,304,"BRK"
"203","Bojan Bogdanovic",3425510,"SF",80,216,79,324,749,110,132,255,99,29,5,115,119,887,"BRK"
"204","Markel Brown",845059,"SG",75,190,62,127,322,71,94,122,91,38,15,54,94,363,"BRK"
"205","Wayne Ellington",1500000,"SG",76,200,76,218,561,54,63,174,83,48,5,45,82,586,"BRK"
"206","Rondae Hollis-Jefferson",1335480,"SF",79,220,29,63,138,37,52,154,43,39,16,26,61,167,"BRK"
"207","Jarrett Jack",6300000,"PG",75,200,32,140,358,100,112,136,236,34,7,94,77,411,"BRK"
"208","Sergey Karasev",1599840,"SF",79,208,40,30,74,26,28,58,35,6,2,22,27,97,"BRK"
"209","Sean Kilpatrick",320594,"SG",76,210,23,115,249,53,59,50,26,10,2,27,30,318,"BRK"
"210","Shane Larkin",1500000,"PG",71,175,78,222,502,83,107,180,342,95,12,146,121,566,"BRK"
"211","Brook Lopez",2e+07,"C",84,275,73,591,1157,317,403,573,147,58,124,175,215,1501,"BRK"
"212","Chris McCullough",1140240,"PF",83,200,24,44,109,11,23,68,9,28,12,15,39,112,"BRK"
"213","Willie Reed",947276,"PF",82,220,39,76,133,30,55,122,10,6,30,16,47,182,"BRK"
"214","Thomas Robinson",981300,"PF",82,237,71,130,291,47,109,359,46,39,36,69,111,307,"BRK"
"215","Henry Sims",161622,"C",82,248,14,33,77,25,30,72,9,9,14,12,37,91,"BRK"
