"","player","salaries","position","height","weight","G","FG","FGA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","PTS","Team"
"370","Erick Green",99418,"PG",76,185,6,5,12,2,2,5,2,1,0,0,4,13,"UTA"
"371","Gordon Hayward",15409570,"SF",80,226,80,521,1202,393,477,397,296,95,27,202,183,1578,"UTA"
"372","Rodney Hood",1348440,"SG",80,206,79,408,972,172,200,267,213,73,16,125,202,1149,"UTA"
"373","Joe Ingles",2250000,"SF",80,226,81,124,291,13,18,151,96,55,4,65,98,342,"UTA"
"374","Chris Johnson",981348,"SF",78,206,70,72,194,34,42,132,45,32,20,40,100,205,"UTA"
"375","Trey Lyles",2239800,"PF",82,234,80,191,436,57,82,299,59,26,18,65,114,488,"UTA"
"376","Shelvin Mack",2433333,"PG",75,203,28,142,320,36,49,106,149,26,3,81,65,355,"UTA"
"377","Elijah Millsap",362878,"SG",78,225,20,11,39,13,18,35,19,7,3,9,33,36,"UTA"
"378","Raul Neto",1e+06,"PG",73,179,81,180,418,52,70,120,174,62,2,109,122,476,"UTA"
"379","J.J. O'Brien",105888,"SF",79,228,2,0,1,0,0,1,0,1,0,0,1,0,"UTA"
"380","Tibor Pleiss",3e+06,"C",87,256,12,11,25,2,2,15,2,1,2,8,19,24,"UTA"
"381","Jeff Withey",947276,"C",84,231,51,87,162,43,59,173,20,21,53,28,75,217,"UTA"
"382","Quincy Acy",981348,"PF",79,240,59,119,214,50,68,188,27,29,24,27,103,307,"SAC"
"383","James Anderson",1015421,"SG",78,213,51,67,178,22,29,86,41,21,14,42,54,179,"SAC"
"384","Marco Belinelli",6333333,"SG",77,210,68,245,635,115,138,117,127,37,2,80,91,696,"SAC"
"385","Caron Butler",1499187,"SF",79,228,17,25,59,10,12,22,10,9,1,3,19,63,"SAC"
"386","Omri Casspi",3e+06,"SF",81,225,69,299,622,103,159,410,95,56,17,94,154,813,"SAC"
"387","Willie Cauley-Stein",3398280,"C",84,240,66,191,339,81,125,352,37,48,66,46,146,463,"SAC"
"388","Darren Collison",5013559,"PG",72,175,74,377,776,194,226,169,318,76,4,130,142,1035,"SAC"
"389","DeMarcus Cousins",14728844,"C",83,270,65,601,1332,476,663,747,214,101,92,249,236,1748,"SAC"
"390","Seth Curry",947276,"PG",74,185,44,102,224,45,54,60,67,22,3,36,41,299,"SAC"
"391","Duje Dukan",525093,"SF",81,220,1,2,10,0,0,4,1,1,0,0,2,6,"SAC"
"392","Rudy Gay",12403101,"SF",80,230,70,466,1007,198,254,456,120,100,51,139,184,1204,"SAC"
"393","Kosta Koufos",7500000,"C",84,265,78,236,444,57,104,423,33,40,70,48,185,529,"SAC"
"394","Ben McLemore",3156600,"SG",77,195,68,195,455,74,103,148,79,52,10,99,140,531,"SAC"
"395","Eric Moreland",845059,"PF",82,238,8,3,6,2,4,11,1,0,4,3,4,8,"SAC"
"396","Rajon Rondo",9500000,"PG",73,186,72,355,782,87,150,435,839,141,10,278,175,859,"SAC"
"397","Darrell Arthur",2814000,"PF",81,235,70,221,489,40,53,293,96,53,48,66,185,527,"DEN"
"398","D.J. Augustin",3e+06,"PG",72,183,28,102,229,77,94,52,132,25,2,54,44,325,"DEN"
"399","Will Barton",3333333,"SG",78,175,82,425,983,216,268,476,203,71,39,139,147,1178,"DEN"
"400","Kenneth Faried",11235955,"PF",80,228,67,349,626,136,222,581,79,32,60,91,169,835,"DEN"
"401","Danilo Gallinari",1.4e+07,"SF",82,225,53,287,700,375,432,281,135,42,19,77,87,1036,"DEN"
"402","Gary Harris",1587480,"SG",76,210,76,359,765,109,133,220,147,97,18,98,143,932,"DEN"
"403","Nikola Jokic",1300000,"C",82,250,80,307,600,154,190,560,189,79,50,104,208,796,"DEN"
"404","Joffrey Lauvergne",1709720,"C",83,220,59,195,380,62,69,290,56,13,15,54,115,465,"DEN"
"405","Mike Miller",1499187,"SF",80,218,47,22,62,0,0,53,40,13,4,17,53,63,"DEN"
"406","Emmanuel Mudiay",3102240,"PG",77,200,68,329,905,140,209,232,372,65,35,217,141,872,"DEN"
"407","Jameer Nelson",4500000,"PG",72,190,39,113,307,30,35,115,190,25,5,66,100,299,"DEN"
"408","Jusuf Nurkic",1842000,"C",84,280,32,101,242,61,99,175,40,24,44,55,91,263,"DEN"
"409","Kostas Papanikolaou",350000,"SF",80,225,26,24,66,9,14,40,16,13,5,21,24,67,"DEN"
"410","Axel Toupane",123552,"SF",79,197,21,25,70,13,17,31,15,7,6,6,40,76,"DEN"
"411","Alexis Ajinca",4300000,"C",86,248,59,150,315,52,62,269,31,19,36,54,134,352,"NOP"
"412","Ryan Anderson",8500000,"PF",82,240,66,397,929,199,228,396,73,38,25,90,109,1124,"NOP"
"413","Omer Asik",1.1e+07,"C",84,255,68,104,195,61,112,414,26,21,23,60,124,269,"NOP"
"414","Luke Babbitt",1100000,"SF",81,225,47,122,289,39,50,148,53,11,7,23,90,327,"NOP"
"415","Norris Cole",3036927,"PG",74,175,45,196,484,52,65,151,167,37,5,75,102,477,"NOP"
"416","Dante Cunningham",3e+06,"SF",80,230,80,186,412,57,82,236,77,42,33,41,173,484,"NOP"
"417","Anthony Davis",7070730,"PF",82,253,61,560,1136,326,430,627,116,78,125,121,148,1481,"NOP"
"418","Bryce Dejean-Jones",281659,"SG",78,209,14,28,69,11,21,48,15,10,2,11,17,79,"NOP"
"419","Toney Douglas",1164858,"PG",74,195,61,183,445,84,99,143,157,70,5,64,131,531,"NOP"
"420","Tyreke Evans",11227000,"SG",78,220,25,136,314,74,93,129,164,32,8,73,66,379,"NOP"
"421","Alonzo Gee",1375000,"SF",78,225,73,132,255,44,66,245,72,63,13,55,169,325,"NOP"
"422","Eric Gordon",15514031,"SG",76,215,45,231,552,111,125,99,121,43,14,73,98,686,"NOP"
"423","Jordan Hamilton",119462,"SF",79,220,11,49,116,14,21,62,25,8,3,17,24,125,"NOP"
"424","Jrue Holiday",10595507,"PG",76,205,65,410,935,182,216,195,391,88,22,167,148,1089,"NOP"
"425","Orlando Johnson",55722,"SG",77,220,5,4,17,1,2,6,2,1,0,3,4,10,"NOP"
"426","Kendrick Perkins",1499200,"C",82,270,37,40,75,11,25,128,31,11,11,41,64,91,"NOP"
"427","Nate Robinson",44000,"PG",69,180,2,0,1,0,0,0,4,1,0,0,5,0,"NOP"
"428","Nemanja Bjelica",4e+06,"PF",82,240,60,110,235,40,55,210,83,26,21,47,154,308,"MIN"
"429","Gorgui Dieng",1474440,"C",83,241,82,308,579,205,248,585,143,94,96,140,219,827,"MIN"
"430","Kevin Garnett",8500000,"PF",83,240,38,54,115,14,21,150,62,28,10,16,70,122,"MIN"
"431","Tyus Jones",1282080,"PG",74,195,37,56,156,28,39,47,108,31,3,33,33,156,"MIN"
"432","Zach LaVine",2148360,"SG",77,189,82,433,959,161,203,228,251,69,17,155,193,1150,"MIN"
"433","Shabazz Muhammad",2056920,"SF",78,223,82,317,681,185,242,267,52,24,7,70,94,863,"MIN"
"434","Adreian Payne",1938840,"PF",82,237,52,53,145,17,26,111,29,16,11,36,77,132,"MIN"
"435","Nikola Pekovic",12100000,"C",83,307,12,19,50,16,20,21,11,1,0,9,22,54,"MIN"
"436","Tayshaun Prince",1499187,"SF",81,212,77,102,229,13,19,147,73,36,13,27,62,221,"MIN"
"437","Ricky Rubio",12365000,"PG",76,194,76,219,586,266,314,326,658,162,10,193,201,766,"MIN"
"438","Damjan Rudez",1149500,"SF",82,228,33,25,62,8,8,20,11,3,1,13,33,75,"MIN"
"439","Greg Smith",247623,"PF",82,250,18,18,32,7,17,42,6,4,1,7,28,43,"MIN"
"440","Karl-Anthony Towns",5703600,"C",84,244,82,625,1153,223,275,857,161,58,138,183,245,1503,"MIN"
"441","Andrew Wiggins",5758680,"SF",80,199,81,594,1294,430,565,292,164,78,46,182,165,1675,"MIN"
"442","Eric Bledsoe",13086957,"PG",73,190,31,223,492,138,172,125,190,63,19,110,75,632,"PHO"
"443","Devin Booker",2127840,"SG",78,206,76,367,867,215,256,187,200,44,20,160,225,1048,"PHO"
"444","Lorenzo Brown",111444,"PG",77,189,8,8,25,3,4,7,11,3,1,9,4,20,"PHO"
"445","Tyson Chandler",1.3e+07,"C",85,240,66,183,314,106,171,576,64,36,44,93,145,472,"PHO"
"446","Archie Goodwin",1160160,"PG",77,200,57,176,422,130,193,142,118,27,13,100,84,505,"PHO"
"447","Cory Jefferson",421449,"PF",81,218,8,9,22,4,6,16,0,0,1,0,8,22,"PHO"
"448","John Jenkins",981000,"SG",76,215,22,42,90,12,15,35,26,5,1,16,11,109,"PHO"
"449","Brandon Knight",1.2e+07,"SG",75,189,52,371,895,156,183,202,263,61,20,177,124,1018,"PHO"
"450","Alex Len",3807120,"C",85,260,78,264,624,174,239,594,97,38,62,145,230,703,"PHO"
"451","Jon Leuer",1035000,"PF",82,228,67,224,466,77,101,373,72,38,30,75,125,567,"PHO"
"452","Ronnie Price",1499187,"PG",74,190,62,116,302,31,41,99,147,74,13,70,161,331,"PHO"
"453","Mirza Teletovic",5500000,"PF",81,242,79,332,777,120,155,302,89,32,21,84,159,965,"PHO"
"454","P.J. Tucker",5500000,"SF",78,245,82,239,582,106,142,512,177,106,20,111,202,652,"PHO"
"455","T.J. Warren",2041080,"SF",80,230,47,221,441,45,64,147,44,37,16,32,94,515,"PHO"
"456","Alan Williams",114285,"PF",80,260,10,10,24,9,14,38,5,4,5,6,15,29,"PHO"
"457","Brandon Bass",3e+06,"PF",80,250,66,174,317,125,148,285,74,33,55,42,125,473,"LAL"
"458","Tarik Black",845059,"C",81,250,39,57,104,19,45,157,16,14,18,22,78,133,"LAL"
"459","Anthony Brown",7e+05,"SF",79,210,29,39,126,17,20,70,19,14,5,15,34,115,"LAL"
"460","Kobe Bryant",2.5e+07,"SF",78,212,66,398,1113,232,281,247,184,62,13,129,115,1161,"LAL"
"461","Jordan Clarkson",845059,"SG",77,194,79,475,1098,164,204,313,192,88,7,135,168,1225,"LAL"
"462","Roy Hibbert",15500000,"C",86,270,81,182,411,117,145,398,95,32,110,76,252,481,"LAL"
"463","Marcelo Huertas",525093,"PG",75,200,53,97,230,27,29,90,182,26,7,80,76,237,"LAL"
"464","Ryan Kelly",1724250,"PF",83,230,36,55,149,37,54,121,20,13,10,18,39,152,"LAL"
"465","Larry Nance Jr.",1155600,"PF",81,230,63,158,300,32,47,312,44,54,23,41,124,349,"LAL"
"466","Julius Randle",3132240,"PF",81,250,81,358,835,193,270,829,144,53,29,149,242,919,"LAL"
"467","D'Angelo Russell",5103120,"PG",77,195,80,392,956,140,190,274,266,93,13,196,142,1054,"LAL"
"468","Robert Sacre",981348,"C",84,270,25,31,75,25,38,72,14,4,10,12,43,87,"LAL"
"469","Lou Williams",7e+06,"SG",73,175,67,283,693,352,424,169,167,62,19,107,107,1028,"LAL"
"470","Metta World Peace",1499187,"SF",78,260,35,55,177,40,57,89,27,22,11,15,67,176,"LAL"
"471","Nick Young",5219169,"SG",79,210,54,126,372,63,76,97,34,23,7,30,50,392,"LAL"
