"player","PTS","TRB","AST","STL","BLK","MFG","MFT","TOV","G","EFF","salaries","position"
"Seth Curry",299,60,67,22,3,122,9,36,44,0.0100623697579502,947276,"PG"
"Duje Dukan",6,4,1,1,0,8,0,0,1,0.00610769533279519,525093,"SF"
"Rudy Gay",1204,456,120,100,51,541,56,139,70,0.0286169725650066,12403101,"SF"
"Kosta Koufos",529,423,33,40,70,208,47,48,78,0.0191718383978285,7500000,"C"
"Ben McLemore",531,148,79,52,10,260,29,99,68,0.0108170392569311,3156600,"SG"
"Eric Moreland",8,11,1,0,4,3,2,3,8,0.00392880744608342,845059,"PF"
"Rajon Rondo",859,435,839,141,10,427,63,278,72,0.031424700931688,9500000,"PG"
"Darrell Arthur",527,293,96,53,48,268,13,66,70,0.0187666388800601,2814000,"PF"
"D.J. Augustin",325,52,132,25,2,127,17,54,28,0.018757330386111,3e+06,"PG"
"Will Barton",1178,476,203,71,39,558,52,139,82,0.0249674782925246,3333333,"SG"
"Kenneth Faried",835,581,79,32,60,277,86,91,67,0.034435254391849,11235955,"PF"
"Danilo Gallinari",1036,281,135,42,19,413,57,77,53,0.0312133681187783,1.4e+07,"SF"
"Gary Harris",932,220,147,97,18,406,24,98,76,0.0198404798184697,1587480,"SG"
"Nikola Jokic",796,560,189,79,50,293,36,104,80,0.0286379307508001,1300000,"C"
"Joffrey Lauvergne",465,290,56,13,15,185,7,54,59,0.0189603997683656,1709720,"C"
"Mike Miller",63,53,40,13,4,40,0,17,47,0.00393409502458891,1499187,"SF"
"Emmanuel Mudiay",872,232,372,65,35,576,69,217,68,0.0157864502704503,3102240,"PG"
"Jameer Nelson",299,115,190,25,5,194,5,66,39,0.014115797919964,4500000,"PG"
"Jusuf Nurkic",263,175,40,24,44,141,38,55,32,0.018400500788731,1842000,"C"
"Kostas Papanikolaou",67,40,16,13,5,42,5,21,26,0.00448959807182553,350000,"SF"
"Axel Toupane",76,31,15,7,6,45,4,6,21,0.00623150017627752,123552,"SF"
"Alexis Ajinca",352,269,31,19,36,165,10,54,59,0.0151797999663359,4300000,"C"
"Ryan Anderson",1124,396,73,38,25,532,29,90,66,0.031290524666761,8500000,"PF"
"Omer Asik",269,414,26,21,23,91,51,60,68,0.0153745671098346,1.1e+07,"C"
"Luke Babbitt",327,148,53,11,7,167,11,23,47,0.012344823496898,1100000,"SF"
"Norris Cole",477,151,167,37,5,288,13,75,45,0.015572554432908,3036927,"PG"
"Dante Cunningham",484,236,77,42,33,226,25,41,80,0.0119839271844284,3e+06,"SF"
"Anthony Davis",1481,627,116,78,125,576,104,121,61,0.0541794479228005,7070730,"PF"
"Bryce Dejean-Jones",79,48,15,10,2,41,10,11,14,0.0109312174165787,281659,"SG"
"Toney Douglas",531,143,157,70,5,262,15,64,61,0.0141880604038219,1164858,"PG"
"Tyreke Evans",379,129,164,32,8,178,19,73,25,0.0296139061516109,11227000,"SG"
"Alonzo Gee",325,245,72,63,13,123,22,55,73,0.0116483852114692,1375000,"SF"
"Eric Gordon",686,99,121,43,14,321,14,73,45,0.0211974657820021,15514031,"SG"
"Jordan Hamilton",125,62,25,8,3,67,7,17,11,0.0200205028110698,119462,"SF"
"Jrue Holiday",1089,195,391,88,22,525,34,167,65,0.0250378081732893,10595507,"PG"
"Orlando Johnson",10,6,2,1,0,13,1,3,5,0.000498592032677027,55722,"SG"
"Kendrick Perkins",91,128,31,11,11,35,14,41,37,0.00903539456196201,1499200,"C"
"Nate Robinson",0,0,4,1,0,1,0,0,2,0.00280674963176953,44000,"PG"
"Nemanja Bjelica",308,210,83,26,21,125,15,47,60,0.0150597024513988,4e+06,"PF"
"Gorgui Dieng",827,585,143,94,96,271,43,140,82,0.0290909787206583,1474440,"C"
"Kevin Garnett",122,150,62,28,10,61,7,16,38,0.0144418181776607,8500000,"PF"
"Tyus Jones",156,47,108,31,3,100,11,33,37,0.00810777817151465,1282080,"PG"
"Zach LaVine",1150,228,251,69,17,526,42,155,82,0.0207438354166738,2148360,"SG"
"Shabazz Muhammad",863,267,52,24,7,364,57,70,82,0.0152544433489361,2056920,"SF"
"Adreian Payne",132,111,29,16,11,92,9,36,52,0.00606885153432093,1938840,"PF"
"Nikola Pekovic",54,21,11,1,0,31,4,9,12,0.00694342047528127,12100000,"C"
"Tayshaun Prince",221,147,73,36,13,127,6,27,77,0.00694166405263899,1499187,"SF"
"Ricky Rubio",766,326,658,162,10,367,48,193,76,0.025871881625831,12365000,"PG"
"Damjan Rudez",75,20,11,3,1,37,0,13,33,0.00308487883186757,1149500,"SF"
"Greg Smith",43,42,6,4,1,14,10,7,18,0.00741495334275892,247623,"PF"
"Karl-Anthony Towns",1503,857,161,58,138,528,52,183,82,0.0448004359774679,5703600,"C"
"Andrew Wiggins",1675,292,164,78,46,700,135,182,81,0.0264531111534905,5758680,"SF"
"Eric Bledsoe",632,125,190,63,19,269,34,110,31,0.0306223104544138,13086957,"PG"
"Devin Booker",1048,187,200,44,20,500,41,160,76,0.0181009009217365,2127840,"SG"
"Lorenzo Brown",20,7,11,3,1,17,1,9,8,0.00267934673851617,111444,"PG"
"Tyson Chandler",472,576,64,36,44,131,65,93,66,0.0257409007765062,1.3e+07,"C"
"Archie Goodwin",505,142,118,27,13,246,63,100,57,0.0108601925474164,1160160,"PG"
"Cory Jefferson",22,16,0,0,1,13,2,0,8,0.0062076136156594,421449,"PF"
"John Jenkins",109,35,26,5,1,48,3,16,22,0.00842441187635555,981000,"SG"
"Brandon Knight",1018,202,263,61,20,524,27,177,52,0.0273515884216127,1.2e+07,"SG"
"Alex Len",703,594,97,38,62,360,65,145,78,0.0223899787974933,3807120,"C"
"Jon Leuer",567,373,72,38,30,242,24,75,67,0.022134926393655,1035000,"PF"
"Ronnie Price",331,99,147,74,13,186,10,70,62,0.00957908395774081,1499187,"PG"
"Mirza Teletovic",965,302,89,32,21,445,35,84,79,0.0219217432802951,5500000,"PF"
"P.J. Tucker",652,512,177,106,20,343,36,111,82,0.0194693649107134,5500000,"SF"
"T.J. Warren",515,147,44,37,16,220,19,32,47,0.0175923314466439,2041080,"SF"
"Alan Williams",29,38,5,4,5,14,5,6,10,0.0110791349252307,114285,"PF"
"Brandon Bass",473,285,74,33,55,143,23,42,66,0.0214370683810128,3e+06,"PF"
"Tarik Black",133,157,16,14,18,47,26,22,39,0.0117909318145234,845059,"C"
"Anthony Brown",115,70,19,14,5,87,3,15,29,0.00658293316184667,7e+05,"SF"
"Kobe Bryant",1161,247,184,62,13,715,49,129,66,0.0199420501818743,2.5e+07,"SF"
"Jordan Clarkson",1225,313,192,88,7,623,40,135,79,0.0222150722019204,845059,"SG"
"Roy Hibbert",481,398,95,32,110,229,28,76,81,0.0176713587030644,15500000,"C"
"Marcelo Huertas",237,90,182,26,7,133,2,80,53,0.00916362038316566,525093,"PG"
"Ryan Kelly",152,121,20,13,10,94,17,18,36,0.0103972578734771,1724250,"PF"
"Larry Nance Jr.",349,312,44,54,23,142,15,41,63,0.0184298736751572,1155600,"PF"
"Julius Randle",919,829,144,53,29,477,77,149,81,0.0314965142045294,3132240,"PF"
"D'Angelo Russell",1054,274,266,93,13,564,50,196,80,0.0171505819097105,5103120,"PG"
"Robert Sacre",87,72,14,4,10,44,13,12,25,0.00897461154315956,981348,"C"
"Lou Williams",1028,169,167,62,19,410,72,107,67,0.0221905422899444,7e+06,"SG"
"Metta World Peace",176,89,27,22,11,122,17,15,35,0.00796957373466959,1499187,"SF"
"Nick Young",392,97,34,23,7,246,13,30,54,0.00831028725986108,5219169,"SG"
