"player","PTS","TRB","AST","STL","BLK","MFG","MFT","TOV","G","EFF","salaries","position"
"Taj Gibson",627,504,106,47,77,237,45,78,73,0.0271791463871266,8500000,"PF"
"Justin Holiday",176,63,45,19,15,91,5,26,27,0.0119355724561126,947300,"SG"
"Doug McDermott",764,195,59,14,6,353,12,53,81,0.0131983750500292,2380440,"SF"
"Nikola Mirotic",777,362,100,58,46,361,35,102,66,0.0256738562718452,5543725,"PF"
"E'Twaun Moore",443,133,99,37,18,202,13,53,59,0.0131600921523402,1015421,"SG"
"Joakim Noah",124,255,110,18,29,82,23,52,29,0.0231274940016947,13400000,"C"
"Bobby Portis",436,337,52,25,22,250,18,54,62,0.0177389385304222,1391160,"PF"
"Derrick Rose",1080,225,311,44,14,601,37,175,66,0.0201683928442469,20093063,"PG"
"Tony Snell",338,199,63,16,17,213,3,52,64,0.00935077926453316,1535880,"SF"
"Alan Anderson",65,27,14,4,1,38,4,2,13,0.00863612643621063,4e+06,"SG"
"Bradley Beal",958,188,162,54,11,440,41,112,55,0.0244610091561135,5694674,"SG"
"Jared Dudley",638,286,170,75,18,254,26,80,81,0.0200319681188294,4250000,"PF"
"Jarell Eddie",63,23,5,5,1,45,0,1,26,0.00326403592930906,561716,"SF"
"Drew Gooden",82,85,13,8,11,70,5,13,30,0.00718142297087776,3300000,"PF"
"Marcin Gortat",1012,741,106,47,96,331,61,121,75,0.0373651671123637,11217391,"C"
"J.J. Hickson",69,45,7,5,2,21,25,9,15,0.0100511589694834,366337,"C"
"Nene Hilario",525,259,97,54,26,175,78,76,57,0.022419026063977,1.3e+07,"PF"
"Ryan Hollins",8,11,0,0,1,3,0,3,5,0.00523481843605025,176375,"C"
"Markieff Morris",335,158,37,25,17,153,13,45,27,0.0269373566031593,8e+06,"PF"
"Gary Neal",390,83,47,20,1,174,8,29,40,0.0142513760348804,2100000,"SG"
"Kelly Oubre",236,133,13,22,7,121,18,34,63,0.00631976090118587,1920240,"SF"
"Otto Porter",871,391,120,105,32,378,31,70,75,0.0230650942148384,4662960,"SF"
"Ramon Sessions",810,203,239,46,5,312,69,115,82,0.0154055998460137,2170465,"PG"
"Garrett Temple",582,212,140,69,18,304,34,64,80,0.0128326295029207,1100602,"SF"
"Marcus Thornton",118,35,19,13,1,65,5,11,14,0.0126760503531325,251107,"SG"
"John Wall",1531,379,789,145,59,777,72,318,77,0.0340596276172296,15851950,"PG"
"Keith Appling",6,1,1,1,0,6,0,3,5,-3.51552394954626e-05,161776,"PG"
"Dewayne Dedmon",255,228,13,22,46,78,19,32,58,0.0140100781500366,947278,"C"
"Evan Fournier",1213,225,213,96,2,500,39,133,79,0.0232909281193882,2288205,"SF"
"Aaron Gordon",719,507,128,59,55,305,64,66,78,0.0263581794553094,4171680,"PF"
"Mario Hezonja",478,176,109,39,17,237,5,97,79,0.010067250808685,3741480,"SF"
"Ersan Ilyasova",178,121,12,14,6,89,13,12,22,0.0200496527848053,7900000,"PF"
"Brandon Jennings",175,50,100,18,5,102,10,35,25,0.0120982357229516,8344497,"PG"
"Devyn Marble",60,38,12,13,1,50,14,7,28,0.00307905714757428,845059,"SG"
"Shabazz Napier",203,55,97,23,1,133,12,46,55,0.00517502678846815,1294440,"PG"
"Andrew Nicholson",384,201,25,10,22,164,14,41,56,0.0154013578499215,2380594,"PF"
"Victor Oladipo",1153,345,282,116,54,545,42,153,72,0.0281244398059091,5192520,"SG"
"Elfrid Payton",778,261,468,89,20,412,78,177,73,0.0196533838444219,2505720,"PG"
"Jason Smith",546,219,62,33,65,259,13,57,76,0.0146669061817932,4300000,"C"
"Nikola Vucevic",1181,576,179,53,70,513,37,123,65,0.040084895239943,11250000,"C"
"C.J. Watson",142,66,88,19,5,90,5,25,33,0.00899819920498734,5e+06,"PG"
"Giannis Antetokounmpo",1350,612,345,94,113,500,113,208,80,0.032000320578849,1953960,"PG"
"Jerryd Bayless",541,141,163,47,11,252,20,73,52,0.018126336400668,3e+06,"SG"
"Michael Carter-Williams",623,276,281,80,41,304,56,153,54,0.0218343830404655,2399040,"PG"
"Jared Cunningham",16,9,1,2,0,10,1,3,4,0.00582201174508539,57726,"SG"
"Tyler Ennis",206,75,95,25,1,103,9,46,46,0.00805957913810751,1662360,"PG"
"John Henson",397,221,54,18,109,127,48,64,57,0.0182545244628912,2943221,"C"
"Damien Inglis",36,31,10,6,3,24,1,11,20,0.00398233160004363,855000,"SF"
"O.J. Mayo",321,105,118,48,8,202,9,72,41,0.0127374159478494,8e+06,"SG"
"Khris Middleton",1434,302,331,131,19,635,35,180,79,0.0294833090085373,1.5e+07,"SG"
"Greg Monroe",1210,696,178,72,67,450,80,129,79,0.0373976742415571,16400000,"C"
"Steve Novak",7,1,0,0,0,4,0,0,3,0.00284289448890648,416886,"PF"
"Johnny O'Bryant",200,176,32,18,8,123,13,31,66,0.00803970584626354,845059,"PF"
"Jabari Parker",1070,395,130,69,29,456,53,116,76,0.0285159596166569,5152440,"PF"
"Miles Plumlee",314,232,16,21,50,93,25,40,61,0.0146540566080851,2109294,"C"
"Greivis Vasquez",130,47,91,10,0,93,4,40,23,0.0091365412115802,6600000,"PG"
"Rashad Vaughn",217,88,39,29,16,185,3,28,70,0.00391619141988721,1733040,"SG"
"Arron Afflalo",909,266,144,25,10,445,21,82,71,0.0193848118759876,8e+06,"SG"
"Lou Amundson",52,49,12,6,7,34,13,15,29,0.00437690265423935,1650000,"PF"
"Thanasis Antetokounmpo",6,1,0,0,0,1,0,0,2,0.00527411155533843,105888,"SF"
"Carmelo Anthony",1573,556,299,62,38,740,69,176,72,0.0361727463176641,22875000,"SF"
"Jose Calderon",544,229,299,63,7,246,6,87,72,0.0168377697944616,7402812,"PG"
"Cleanthony Early",31,26,6,2,3,28,1,9,17,0.00276768821226406,845059,"SF"
"Jimmer Fredette",7,0,0,0,0,0,1,1,2,0.00472658396451518,59731,"SG"
"Langston Galloway",625,288,207,77,22,357,28,61,82,0.0141712844728055,845059,"PG"
"Jerian Grant",426,143,177,50,10,237,27,87,76,0.00906385710539072,1572360,"PG"
"Robin Lopez",842,602,114,16,129,305,33,133,82,0.0279234752627018,1.3e+07,"C"
"Kyle O'Quinn",309,250,72,20,49,142,14,61,65,0.0144815212720063,3750000,"PF"
"Kristaps Porzingis",1028,526,93,53,134,513,39,121,72,0.032141806155986,4131720,"PF"
"Kevin Seraphin",187,126,47,8,36,121,4,43,48,0.00889608319849255,2800000,"C"
"Lance Thomas",484,131,53,22,7,213,17,57,59,0.0142294185759152,1650000,"PF"
"Sasha Vujacic",296,149,84,34,5,171,7,44,61,0.00937097085565178,1356146,"SG"
"Derrick Williams",746,296,75,29,9,311,62,61,80,0.0154417892675219,4900000,"SF"
"Andrea Bargnani",304,97,18,4,9,152,10,26,46,0.0104017590444119,1362900,"C"
"Bojan Bogdanovic",887,255,99,29,5,425,22,115,79,0.0154733175443348,3425510,"SF"
"Markel Brown",363,122,91,38,15,195,23,54,62,0.00960915181226557,845059,"SG"
"Wayne Ellington",586,174,83,48,5,343,9,45,76,0.0110784654520631,1500000,"SG"
"Rondae Hollis-Jefferson",167,154,43,39,16,75,15,26,29,0.0168748243282207,1335480,"SF"
"Jarrett Jack",411,136,236,34,7,218,12,94,32,0.0235779485150077,6300000,"PG"
"Sergey Karasev",97,58,35,6,2,44,2,22,40,0.00537405497011669,1599840,"SF"
"Sean Kilpatrick",318,50,26,10,2,134,6,27,23,0.0181863173850916,320594,"SG"
"Shane Larkin",566,180,342,95,12,280,24,146,78,0.0143657733010984,1500000,"PG"
"Brook Lopez",1501,573,147,58,124,566,86,175,73,0.0412090570721044,2e+07,"C"
"Chris McCullough",112,68,9,28,12,65,12,15,24,0.0113163281700376,1140240,"PF"
"Willie Reed",182,122,10,6,30,57,25,16,39,0.0131291261109205,947276,"PF"
"Thomas Robinson",307,359,46,39,36,161,62,69,71,0.0139612744276595,981300,"PF"
"Henry Sims",91,72,9,9,14,44,5,12,14,0.0178020977547776,161622,"C"
"Donald Sloan",424,173,268,32,4,196,26,80,61,0.0148934736875517,1015421,"PG"
"Thaddeus Young",1102,660,135,112,37,468,58,136,73,0.0381476907504997,11200000,"PF"
"Elton Brand",70,63,18,9,8,41,1,11,17,0.012287845005791,890693,"C"
"Isaiah Canaan",846,174,137,56,12,462,30,91,77,0.0142554927748504,947276,"SG"
"Robert Covington",858,419,97,105,40,438,37,143,67,0.0221984660643292,1e+06,"SF"
"Jerami Grant",749,361,135,54,127,348,110,110,77,0.0180727432858266,845059,"SF"
"Richaun Holmes",287,135,33,19,40,108,23,32,51,0.0137668136445597,1050000,"PF"
"Carl Landry",351,146,32,12,9,111,24,22,36,0.0224341320064691,6500000,"PF"
"Kendall Marshall",111,28,73,16,2,75,4,43,30,0.00534138245083238,2144722,"PG"
"T.J. McConnell",493,250,367,95,10,246,15,140,81,0.0149737185999375,525093,"PG"
"Nerlens Noel",747,542,122,118,100,281,93,158,67,0.0305330917112351,3457800,"C"
"Jahlil Okafor",928,373,65,22,61,384,61,124,53,0.0322000721197269,4582680,"C"
"Phil Pressey",55,23,46,11,1,34,9,19,14,0.0078970969167634,172739,"PG"
"JaKarr Sampson",240,129,30,11,16,116,35,51,47,0.00798087683657739,845059,"SF"
"Ish Smith",733,213,348,64,18,440,44,130,50,0.0230415714587384,1100602,"PG"
"Nik Stauskas",617,183,138,44,20,335,27,94,73,0.012572916821983,2869440,"SG"
"Hollis Thompson",758,272,99,36,24,410,27,76,77,0.0147767980303021,947276,"SG"
"Sonny Weems",17,12,2,0,0,14,1,4,7,0.00285352648397961,2800000,"SF"
"Christian Wood",61,38,3,5,7,31,8,2,17,0.00870913819477472,305789,"PF"
"Tony Wroten",67,21,20,3,0,43,17,29,8,0.00459081136516514,2179354,"PG"
"Leandro Barbosa",433,117,82,44,10,199,10,53,68,0.0105429249896927,2500000,"SG"
"Harrison Barnes",774,325,117,41,10,338,32,57,66,0.021520306463574,3873398,"SF"
"Andrew Bogut",375,492,162,33,114,104,26,83,70,0.024633215475878,1.2e+07,"C"
"Ian Clark",236,68,64,17,13,113,6,43,66,0.00597540155720542,947276,"SG"
"Stephen Curry",2375,430,527,169,15,793,37,262,79,0.0479978529821131,11370786,"PG"
"Festus Ezeli",320,257,32,18,50,103,62,38,46,0.0197292845258402,2008748,"C"
"Draymond Green",1131,769,598,119,113,418,100,259,81,0.0458472314925869,14300000,"PF"
"Andre Iguodala",457,263,219,73,19,192,32,79,65,0.018326923727231,11710456,"SF"
"Shaun Livingston",488,169,237,57,27,176,13,78,78,0.0137489594883704,5543725,"PG"
"Kevon Looney",9,10,0,0,0,3,0,1,5,0.00614976449556785,1131960,"PF"
"James Michael McAdoo",117,58,17,10,8,39,23,16,41,0.00660146288681323,845059,"PF"
"Brandon Rush",305,181,57,20,23,149,10,33,72,0.00899768993531581,1270964,"SG"
"Marreese Speights",512,239,61,19,34,259,20,66,72,0.0137204798392141,3815000,"C"
"Klay Thompson",1771,306,166,60,49,735,28,138,80,0.0313418652208331,15500000,"SG"
"Anderson Varejao",58,50,15,5,5,27,13,6,22,0.00751780366028524,458575,"C"
"LaMarcus Aldridge",1331,632,110,38,81,509,43,99,74,0.0422596903616061,19500000,"PF"
"Kyle Anderson",350,244,123,60,29,157,21,59,78,0.0118319984685575,1142879,"SF"
"Matt Bonner",76,27,9,6,1,28,1,3,30,0.00548362213545617,1499187,"C"
"Rasual Butler",124,56,24,13,23,55,5,8,46,0.00600879126019823,1499187,"SF"
"Boris Diaw",485,233,176,26,21,181,20,97,76,0.0164310464914324,7e+06,"PF"
"Tim Duncan",522,447,163,47,78,226,39,90,61,0.0269672532544266,5e+06,"C"
"Manu Ginobili",555,146,177,66,11,238,21,99,58,0.017366255599314,2814000,"SG"
"Danny Green",572,303,141,79,64,350,12,75,79,0.0147210085555982,1e+07,"SG"
"Kawhi Leonard",1523,493,186,128,71,539,42,105,72,0.0399967332935901,16500000,"SF"
"Boban Marjanovic",297,194,21,12,23,69,27,29,54,0.0149140282637193,1200000,"C"
"Kevin Martin",99,29,12,9,2,55,2,13,16,0.00853965151413577,317475,"SG"
"Ray McCallum",68,31,33,5,4,40,1,11,31,0.00426355806952558,947276,"PG"
"Andre Miller",56,27,29,7,0,25,4,12,13,0.00911851545925351,396844,"PG"
"Patrick Mills",690,158,226,59,6,352,11,76,81,0.0132672486322234,3578947,"PG"
"Tony Parker",857,176,379,54,11,360,41,131,72,0.0202368074849418,13437500,"PG"
"Jonathon Simmons",331,96,58,24,5,120,23,53,55,0.00993476180114776,525093,"SG"
"David West",554,309,143,44,55,204,17,68,78,0.020435103229701,1499000,"PF"
"Steven Adams",636,533,62,42,89,165,82,84,80,0.0243447677337108,2279040,"C"
"Nick Collison",123,171,52,15,16,59,10,50,59,0.0084288103103021,3750000,"PF"
"Kevin Durant",2029,589,361,69,85,683,51,250,72,0.050463083353443,20158622,"SF"
"Randy Foye",151,51,49,13,13,97,5,28,27,0.00886023286016979,3270000,"SG"
"Josh Huestis",14,10,0,1,2,7,4,3,5,0.00552012436579541,1140240,"PF"
"Serge Ibaka",983,533,66,38,148,453,30,108,78,0.0301429373043535,12350000,"PF"
"Enes Kanter",1038,664,33,26,33,305,51,115,82,0.0310340067768832,16400000,"C"
"Mitch McGary",26,18,3,1,2,12,6,7,20,0.00260995386723196,1463040,"PF"
"Nazr Mohammed",8,4,0,0,0,2,0,3,5,0.00273846325653526,352750,"C"
"Anthony Morrow",380,62,24,22,5,197,10,17,68,0.00684977167252724,3344000,"SG"
"Cameron Payne",283,85,108,36,6,164,5,44,57,0.00807474044089734,2021520,"PG"
"Andre Roberson",337,251,47,53,42,138,21,35,70,0.0124558957898186,1210800,"SG"
"Kyle Singler",231,141,24,30,9,135,15,32,68,0.00612405332209089,5e+06,"SF"
"Dion Waiters",762,202,154,81,15,424,45,120,78,0.0135388259834561,5138430,"SG"
"Russell Westbrook",1878,626,834,163,20,788,108,342,80,0.0437148761271737,16744218,"PG"
"Cole Aldrich",328,288,50,47,68,91,24,64,60,0.0184097412208518,1100600,"C"
"Jeff Ayres",30,22,5,0,3,11,0,6,17,0.00468390021433929,317232,"C"
"Jamal Crawford",1120,145,183,52,12,560,26,113,79,0.0178317083249238,5675000,"SG"
"Branden Dawson",5,4,0,0,1,3,0,0,6,0.00231641751914997,525093,"PF"
"Jeff Green",293,91,40,18,21,153,25,24,27,0.0161297646406477,9200000,"SF"
"Blake Griffin",749,294,170,28,17,302,53,83,35,0.0468339566026432,18907725,"PF"
"Wesley Johnson",549,248,49,89,56,307,16,54,80,0.012405285264643,1100600,"SF"
"DeAndre Jordan",980,1059,90,51,177,151,353,107,77,0.044148548770374,19500000,"C"
"Luc Mbah a Moute",231,171,30,44,19,113,27,34,75,0.00852560526809398,1270964,"PF"
"Chris Paul",1446,310,738,152,13,599,34,194,74,0.037872834258207,21468696,"PG"
"Paul Pierce",417,186,71,33,17,253,12,58,68,0.00972939986102715,3400000,"SF"
"Pablo Prigioni",145,114,130,53,1,92,1,49,59,0.00748243311483094,981348,"PG"
"J.J. Redick",1226,139,106,42,5,458,23,78,75,0.0225041602900723,6867000,"SG"
"Austin Rivers",593,130,99,48,9,290,37,61,67,0.0125645962670353,3100000,"SG"
"Alex Stepheson",2,2,0,0,2,0,2,0,4,0.0020321137817527,61776,"PF"
"C.J. Wilcox",70,12,10,10,2,40,3,2,23,0.00432825849452074,1159680,"SG"
"Cliff Alexander",10,6,0,1,2,5,0,1,8,0.00322211434885321,525093,"PF"
"Al-Farouq Aminu",839,499,138,72,53,420,41,120,82,0.020475873439017,7500000,"SF"
"Pat Connaughton",36,32,10,2,0,36,0,10,34,0.00157039152148604,525093,"SG"
"Allen Crabbe",832,216,99,63,16,367,15,64,81,0.0164158214355485,947276,"SG"
"Ed Davis",526,599,88,57,72,131,90,64,81,0.0260848246768802,7e+06,"PF"
"Tim Frazier",51,39,42,10,1,40,7,27,35,0.00287465602054768,845059,"PG"
"Maurice Harkless",498,280,67,49,35,216,42,62,78,0.0129198025627856,2894059,"SF"
"Gerald Henderson",624,211,75,39,19,297,34,68,72,0.0134002560158688,6e+06,"SG"
"Chris Kaman",44,24,11,1,1,23,0,8,16,0.00578591638626934,5e+06,"C"
"Meyers Leonard",511,314,92,8,18,240,11,77,61,0.0201218625940515,3075880,"PF"
"Damian Lillard",1879,302,512,65,28,856,50,242,75,0.0340342778994075,4236287,"PG"
"C.J. McCollum",1666,259,341,97,23,790,39,196,80,0.0292489584238775,2525160,"SG"
"Luis Montero",14,4,1,0,0,14,1,4,12,-1.37030657933566e-06,525093,"SG"
"Mason Plumlee",749,628,226,68,85,250,120,154,82,0.0279279017860822,1415520,"C"
"Brian Roberts",60,12,16,3,1,27,2,7,21,0.00413953247917926,2854940,"PG"
"Noah Vonleh",283,305,30,27,26,161,13,50,78,0.0113891186701865,2637720,"PF"
"Justin Anderson",208,132,29,19,25,104,11,24,55,0.008095394840525,1449000,"SF"
"J.J. Barea",808,152,302,26,2,394,22,113,74,0.0159460868616201,4e+06,"PG"
"Jeremy Evans",71,54,2,6,9,22,6,7,30,0.00586939419632304,1100602,"SF"
"Raymond Felton",763,258,284,68,15,405,27,121,80,0.0158570412533168,3950313,"PG"
"Devin Harris",487,138,118,60,13,207,39,66,64,0.0121434014155937,4053000,"PG"
